text,lbl
ĐỊA CHỈ ĐẠI LÝ,1
TỔ KHU 3B P CẨM TRUNG,1
CAM HA QUANG NINH,1
TỔNG CÔNG,3
VND,3
VM HNI CC Nàng Hương,1
Số Km9 đường Nguyễn Trãi,1
P Văn Quán Q Hà Đông TP HN,1
Tang SH Toa K3 cong trinh chung cu,1
ket hop dich vu tren o dat H-CT2 thuoc,1
Du an Dau tu xay dung Khu nha o Hi Brand,1
tai khu do thi moi Van Phu,1
VM ONH Dư án quỹ đất đường sắt,1
Nhà Hàng Aozora Sushi,0
Tổng,3
THE COFFEE HOUSE,0
TÔNG TIẾN PHẢI T TOÁN,3
NHÀ QNH Trần Phú,1
Số Trần Phú P Cẩm Thủy,1
Phan Huy Ich P Q Gò vấp,1
Giảm giá,0
Số Trần Phú P Cẩm Thuỷ,1
DỰ ÁN KHU DÂN CƯ LẤN BIỂN,1
Số Dương Trần Phú,1
Công ty Cổ Phần Thế Giới Di Động,0
TINO Kho CN DMX Dong Anh,1
DA Khu DC1 B Coc B P Cẩm Sơn,1
Ngày tháng năm,2
VM+QNH Dự án quỹ đất đường sắt,1
DA QĐ dọc tuyến ĐS Tổ Khu,1
ket hop đich vu tren o dat H-CT2 thuoc,1
Nhà Hàng Út Giang Nguyễn Chánh,0
phố Nguyễn Quốc Tru,1
ngõ phố Trung Kính hoặc đi vào phố đối diện,1
Nhà số Khu B Liền kè A10 Nam Trung Yên Đi vào,1
Tổng giá giá góc,3
V09 Võ Văn Ngân Q TD,0
Y09 Vô Văn Ngân Q TD,1
Da an Dau tu xay dung Khu nha o Hi Brand,1
P Phu La Q Ha Dong Tp Ha Moi,1
Pharmacity,0
Dương số,1
Đường số Thủ Đức,1
Giờ,2
Tổng tiền sau KH,3
Tax invoice will be issued within same day,0
Phải thu khách hàng,3
Thanh,0
Xuân,0
0đ,3
Thành Tiền,3
CK CK,3
Giá,3
SL,3
Giấy thủ công A4,3
Chiết khấu bán hàng,3
Tên hàng,3
ĐT Fax,3
Nhân viên thu ngân,3
Đc Đường Trần Phú Cẩm Phả,1
KAI TEA,0
Đ/c SH08 Tòa K1 The K Park Văn Phú,1
Hà Đông Hà Nội,1
VM+QNH Thanh Niên,1
VGH_VINMART_4939_VMQNH,0
TRẦN PHÚ,1
CAM PHA QUANG NINH,1
600đ,2
TỔNG CỘNG,3
Đ Cẩm Bình TP Cẩm Phả QNH,1
NGÀY KINH DOANH,2
Hồng thanh toán,3
Số Thanh Niên P Cẩm Thanh,1
CH THỜI TRANG ADIDAS,0
17A KP P BTD Q Bình Tân,1
Tổng thành toàn,3
Laha Cafe,0
JUST GOOP COFFEE,0
Nguyễn Kiên P3 Q Gò Vấp,1
2C20,2
Gò vào,2
VM CNH Tổ Khu Minh Tiến A,1
Nguyễn,1
VM HNI Lăng Trung,1
Số ngô Láng Trung P Láng Hạ,1
SIỀU THỊ MINH LOAN,0
TT101 CC Tang Ngõ Vũ Ngọc Phan,1
Tổng tiền VND,3
TT101 CC Tầng Ngõ Vũ Ngọc Phan,1
P Cẩm Bình TP Cẩm Pha QNH,1
TP Cẩm Pha Quảng Ninh,1
HỒNG TIẾN PHẢI T TOÀN,3
VGH_VINMART_1987_VMQNH,0
CẨM PHẢ QUẢNG NINH,1
Nam,2
GIÁ,2
VND110,3
mart,0
Số ngõ Nguyễn Khánh Toàn Cầu Giấy Hà Nội,1
Tổng tiền hàng,3
VM QNH Số Tổ Khu Diêm Thuý,1
Số Tổ Khu Diêm Thuỷ,1
TIền khách trả,3
VM CNH Thanh Niên,1
Số Thanh Hóa P Cẩm Thành,1
VM QNH Dự án KDC lấn biển cọc,1
Ngày hệ thống,2
Tổng Tiền,3
NAI,2
LOTTERIA,0
Tong cong VAT,3
Trần Phú phường Cám Tây Thành phố Cẩm,1
Nhà hàng Aozora Sushi,0
BS3 Thụy Khuê Quận Tây Hồ Thành phố Hà Nội,1
Giờ ma,3
PHỐ MO,0
Vincommerce,0
Thôn Phú Thuỵ xã Phú Thị Huyện Gia Lâm TP Hà Nội,1
PHÚC TONG,0
PHUC LONG,0
TRAN CAO VAN P Q Tp HCM,1
PM,2
TOTAL,3
TEN DAI LY,0
VGK VINMART VMQMH,0
VND75,3
VM-ONH Trần Phú,1
THỨC COFEE,0
VM QNH Số Tổ Khu Diêm Thuỷ,1
P Cẩm Đồng TP Cẩm Phả,1
THE COFFEE H9USE,0
VM+QNH Dự án KDC lấn biên cọc,1
To MINH TIEN A,1
CAM BINH CAM PHA QN,1
UMD50,3
PHO MO,0
Tổ Khu Tân Lập P Cẩm Thủy,1
Tổ Khu Hình Tiến A,1
Trần Phú phường Cẩm Tê Thành phố Cẩm,1
NGÀY HỆ THỐNG,2
Số Thanh Mân P Cẩm Thanh,1
TP Cẩm Phả Quảng Minh,1
Tổng Tiên,3
hồng thanh toán,3
TỔ PHẠM MINH TIẾN A P CÂ,1
THỜI GIA,2
Ngày giờ giờ ra,2
Số Trần Phú P Cẩm Thuy,1
Cửa hang INDOCHINA PLAZA,0
Địa chỉ TANG INDOCHINA PLAZA HANOI,1
Tổng số tiền,3
VNĐ,3
14B1 Ngô Tất Tổ Q Bình Thanh,1
THời gian,2
NHÀ ONH Trần Phú,1
hoá Trần Phú phường Cẩm Tây Thành phố Cẩm,1
Chợ Sủi Phú Thị Gia Lam,1
Lục Quân Xã Cổ Đông thị xã Sơn Tây,1
ĐỒNG,1
Số ngõ Láng Trung P Láng Hà,1
VN QNH Dự án KDC lấn biến cọc,1
VM QNH Dự án KDC lấn biển coc,1
SIÊU THỊ MINH LOAN,0
TT CC Tầng Ngõ Vũ Ngọc Phan,1
Số Duong Trần Phú,1
CỮA HÀNG NĂM OÁNH,0
ổng tiền,3
VMN-QNH Tổ Khu Minh Tiến A,1
Toor Khu Minh Tiến A,1
P Cẩm Bình TP Cẩm Phả CNH,1
CHẾ,0
VM QNH Tổ Khu 3B Cẩm Trung,1
DA QĐ đọc tuyến ĐS Tổ Khu,1
Tổng tiền thanh toasn Grand Total CND,3
Date print,2
14AM,2
Têng số thanh toán,3
Dia Chi,1
Tổ KHU 3B P CAM TRUNG,1
Co opMart XA LO HA NOI,1
VGH VINMART VMQNH,0
TO KHu 3B P CAM TRUNG,1
CAM HÀ QUANG NINH,1
UHD341,3
Saiigono Co op,0
Vin QNH Tổ Khu Cẩm Trung,1
Tổ Khu 2B P Cẩm Tung,1
Co opXtra LINH TRUNG,0
Coop xtra,0
Quoc Lo 1A P Linh Trung Q Thu Duc,1
Vin+QNH Trần Phú,1
Số Xuân La quận Tây Hồ HN,1
Tổng giá trị TT,3
WWW UNIQLO COM,0
UNIQLO,0
Vincom Phạm Ngọc Thạch,1
Đường Phạm Ngọc Thạch,1
Phường Trung Tự Quận Đống Đa,1
Thành phố Hà Nội,1
VMA QNH Thanh Niên,1
Số Trần Phú P Cẩm Thúy,1
TỜNG TIỀN PHẢI T TOÁN,3
SCTC CÔ THỒ TRẦN PHÚ CẨM,0
VHA,0
Tổ khu Tân Lập Phường Cẩnm Thuỷ,1
BA,2
TET,3
Chợ sửi Phú Thị Gia Lâm,1
Rên Đại lý,0
VinMart,0
Co op mart,0
Co opMart,1
NGUYEN DINH CHIEU,1
Nguyen,1
Đinh Chiêu,1
ĐC Đường Trần Phú Tâm Phú,1
NM QNH Số Tổ Khu Diêm Thuỷ,1
Số Tổ Khu Diêm Thuy,1
P Câm Đông TP>Câm Pha,1
saigon co op,0
ket hop dich vu tren D dat H-CT2 thuoc Du an Dau tu xay dung Khu nha o Hi Brand,1
Tổ Khu P Cẩm Trung,1
Tổ khu 3B P Cẩm Trung,1
Hồng Tiến,3
Tại Quầy,3
Order Ngày,2
BIG C LONG BIEN,0
Cty TNHH TMQT DV Sthi Big C Thang Long Trần Duy Hung cau Giay Ha Noi,1
TONG CONG 400d,3
Thời gian S4,2
Vincom pham Ngọc Thạch,1
VinCommercce,0
TP Cẩm Bình Quảng Ninh,1
BIEU THI BACH HOA TONG HOP,0
Tổng cộng công đã gồm VAT,3
THE COFFEE H905E,0
VHai,0
VM QNH Số Tổ Khu Diêm Thúy,1
Co op Food HN THE K-PARK-PARK,0
Du an Dau tu xay dung khu nha o Hi Brand,1
500đ,3
Linh kiện Điện Tử 3M cho com vn,0
Tổng cộng của gồm VAT,3
Thuỷ Khuê Quận Tây Hồ Thành phố Hà Nội,1
TP Cẩm Bình TP Cẩm Phả QNH,1
FamilyMart,0
Block D3 Khu B KTX ĐHQG P Đông Hoà,1
TX Lĩ An Bình Dương,1
Block D3 Khu BKTX ĐHQG P Đông Hoà,1
Tổng tiền phải trả,3
ống số thanh toán,3
TO KHU 3B P CAM TRUNG,1
Vcommerce,0
Số Thanh Hiên P Cẩm Thành,1
TÒNG TIỀN PHẢI T TOÁN,3
SCTC cô THỎ TRẦN PHÚ CẨM,0
PHÀ,0
Nguyễn kiệm P3 Q Gò Vấp,1
VGR_VINMART VMQNH,0
Cảm Phả Quảng Ninh,1
NAY,2
NVD70,3
Số CCB ngõ Kim Giang,1
P Đại Kim Q Hoàng Mai HN,1
Phan Chu Trinh Thiệp Phú Quận Hồ,1
Ngày lập,2
Đc Đường Trần Phú-Cẩm Phả,1
VM+QNh Trần Phú,1
Số Thanh Miện P Cẩm Thành,1
Vit Commerce,0
HỒNG TIỀN PHẢI T TOÁN,3
Add duong P Q HCM,1
Legend,0
Welcome to Trung Nguyen Legend,0
Total VND,3
VM HCM Nguyễn Kiệm,1
VM HCM CC The Manor Ng H Canh,1
Nguyễn Hữu Cảnh Phường,1
Q Bình Thạnh TP HCM,1
B,3
Ga Dong Quan,0
DUONG DUONG QUANG HAM P5,1
Gio Vao,2
Gio Ra,2
T CỘNG,3
Địa chỉ 102C1 Phạm Ngọc Thạch,1
Phường Kim Liên Quận Đống Đa,1
Hà Nội,1
VMN QNH Thanh Niên,1
UHD510510,3
ĐC Nguyễn Thị Định Trung Hòa Cầu Giấy HN,1
T0 MINH TIEM A,1
VND284,3
VM ONH Thanh Niên,1
TP Cẩm Phú Quảng Ninh,1
VCB Lê Lợi,0
Địa chỉ Lê Lợi,1
Tổng hoá đơn VNĐ,3
VM+QNH số Tổ Khu Điềm Thụy,1
DIM SUM CORNER TRUNG HÒA,0
Trung Hòa Cầu Giấy Hà Nội,1
Tống thanh toán,3
MINIMAIRT ANAN,0
BIG C AN PHÚ,0
CN CTY TNHH TM-DV-PPTH TP HA NOI Cantavil An Phu KP An Phu Q2,1
TONG CONG 100đ,3
CỬA HÀNG TỰ CHỌN ANH GIANG,0
address Phú Thị Gia Lâm Hà Nội,1
Date PM,2
Tổng phải trả,3
Ma Pham Ngọc Thạch,1
VGH Vinmart QNH,0
UHD402,3
H3,2
Hau Giang P Q TPHCM,1
H1,2
Số Thanh Niên P Cẩm Thịnh,1
Chợ sửi Phú Thị Thị Gia Lâm,1
Tiền khách trái,3
PHÚC LONG,0
VM+QNH Số Tổ Khu Diêm Thủy,1
Tổng cố thanh toán,3
Thôi Phú Thụy Xã Phú Thị Huyện Gia Lâm TP Hà Nội,1
Siêu thị thú cưng PET YÊU,0
Địa chỉ 11B Nơ Trang Long Phường,1
Quận Bình Thạnh Hồ Chí Minh,1
VM HNI ngõ Cầu Diễn,1
Số ngõ đường Cầu Diễn,1
P Minh Khai Q Bắc Từ Liêm HN,1
VN QNH Trần Phú,1
co op smile,0
CO OPSMILE A1 KHU B KTX ĐẠI HỌC QUỐC GIA,1
Toa nha A1 Ky tuc xa khu B Khu pho Tan Hoa,1
Phuong Dong Hoa Thị xa Di An Tỉnh Bình Duong,1
Gio,2
TONG CONG,3
NM4-QNH Dư án KDC lấn biển coc,1
Đa Phan Chu Trinh Hiếp Phú Quận Hồ,1
Ngày tháng,2
Chợ sủi Phú Thị Gia Lâm,1
Cộng Tiền hàng,3
900đ,3
Tang SH42 Toa K3 cong trinh chung cu ket hop dich vu tren o dat H-CT2 thuoc Du an Dau tu xay dung nha o Hi Brand,1
Tai Quấy,3
Số Phố Sủi xã Phú Thị,1
huyện Gia Lâm Hà Nội,1
TIỀN KHÁCH TRÀ,3
SIÊU THỊ BÁCH HOÁ TỔNG HỢP,0
Tổng tiền đã gồm VAT,3
Cuitar Cafe,0
Tông cộng,3
đ,3
VM+QNH Tổ Khu Minh Tiến Â,1
TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN ĐƯỜNG CAO TỐC VIỆT NAM Cty TNHH MTV,0
CÔNG TY CỔ PHẦN BOT PHÁP VÂN CẦU GIẼ,0
Trụ sở chính Tầng Tháp A Toà nhà CENTRAL POINT Số phố Trung Kính Phường Yên Hoà Quận Cầu Giấy Thành phố Hà Nội Việt Nam,1
Trụ sở chính Km cao tóc Pháp Vân Cầu Giẽ thôn Nội Am Xã Liên Ninh Huyện Thanh Trì Thành phố Hà Nội Việt Nam,1
MINIMART ANAM,0
kẹt hop dich vu tren o dat H-CT2 thuoc,1
tại Khu do thi moi Van Phu,1
Nhà Hàng Aozorora Sushi,0
Thuy Khuê Quận Tây Hồ,1
Net hop dich vu tren o dat H-CT2 thuoc,1
P Phu La Q Ha Đong Tp Ha Noi,1
VAT,3
CHAMPI,0
Tòa nhà C1 KTX Khu B PHOG TP HCM,1
Bún Bò Huế O Xuân,0
CS1 Tuệ Tĩnh Hai Bà Trưng Hà Nội,1
VM QNH Dự án KDC lần biển coc,1
ĐA khu DCLB cọc P Cẩm Sơn,1
SCTC CÔ THỎ TRẦN PHÚ CẤM,0
PHA,0
Trần Phú Phường Cẩm Tây Thành phố Cẩm,1
Quảng Ninh,1
Số Cẩm Tay Cẩm Phả QN,1
VCR_VINMart VMQNH,0
VND61,3
Satra Group,0
satrafoods Nguyễn Văn Quá,0
KP2 Đường Nguyễn Văn Qua P Đông Hưn,1
Số Thanh Năm P Cẩm Thành,1
Dự án đầu tư xây dựng khu nhà ở Hi Brand,1
tai Khu do thi moi Van PHu,1
P Phu La Q Ha Dong TP Ha Noi,1
A001 Chung Cư Citineme P Cát Lái Q,1
Số TRẦN PHÚ P C,1
MA QUAN Tổ Khu Minh Tiến A,1
P Cẩm Bình TP Cẩm Phảm QNH,1
D/c add Tầng H2 CCEcoLife Tố Hữu Nam Từ Liê,1
BOOKS n COFFEE,0
Thanh toán,3
Tô Hiệu tổ P Đích Vọng,1
Cầu Giấy TP Hà Nội,1
VM 1S5 Tô Hiệu,0
TỔ KHU 3B P CẨM TRUNG CẨM PHẢ QUẢNG NINH,1
VNd359,3
WM+QNH Dư án quỹ đất đường sắt,1
P Cầm Sơn TP Cẩm Phà T QN,1
Đ8 Phan Chu Trinh Hiệp Phú Quận Hồ,1
Ngày tập,2
SCTC CỔ THỎ TRẦN PHÚ CẨM,0
Trần Phú phường Tây Thành phố Cẩm,1
Số Tổ Khu Diêm Thủy,1
Đồng số thanh toán,3
VGH_VINMART,0
TP CẨM PHẢ-QNH,1
VND249,3
Gaigon Co op,0
Tang SH42 Toa K3 Cong trinh chung cu ket hop dich vu tren o dat H-CT2 thuoc Du an Dau tu xay dung khu nha o Hi Brand,1
tai khu đô thị moi Văn Phu,1
VM QQNH Trần Phú,1
TP Cẩm Phả T Quang Ninh,1
BÁCH HOÀ XANH,0
Thửa đất số Tờ bản đồ số Khu phố Đông,1
Chiêu Phường Tân Đông Hiệp Thị xã Dĩ An,1
Cộng tiền hàng hàng,3
TỔ KHU P Cẩm TRUNG T,1
BÁCH HOÁ XANH,0
Vĩnh Hội Phường Quận Thành phố Hồ Chí Minh Việt Nam,1
Ngày CT,2
Bộ S Cẩm Tây Cẩm Phả QN,1
Số Thanh Kiên P Cẩm Thành,1
MINH TIẾN A,1
UHD461,3
CÁM HÀNG QUẢNG NINH,1
P Dịch Vọng Q Cầu Giấy Hà Nội,1
VM Thàng Long,0
Giảm,0
Thuỵ Khuê Quận Tây Hồ Thành phố Hà Nội,1
PHÓ MỞ,0
Số Tổ Khu Dân Thuỷ,1
VMH+QNH Thanh Niên,1
Số Thanh Mận P Cẩm Thành,1
co opmart,0
Tiền khách trả,3
Phạm Ngọc Thạch,1
TTTM Vincom Số Phạm Ngọc Thạch,1
Ngày/giờ,2
Tiền khách đưa,3
Tiền thừa,3
Chiết khấu,3
Mười làm nghìn đồng chẵn,3
Cảm ơn và hẹn gặp lại,3
Powered by POS365 VN,3
Trà Đào Nha Đam,3
Đơn giá,3
SĐT,3
Khách hàng,3
Số HD130820 Bàn MANG VỀ A,3
HOÁ ĐƠN BÁN HÀNG,3
ĐT,3
MINHMART ANÁN,0
CASH VND,3
P Cẩm Bình TP Câm Phú QNH,1
SCTC cổ THổ TRẦN PHÚ CẨM,0
Phả Quảng Tỉnh,1
VM Mỹ Đình,1
Tầng,1
nhà CT9 KĐT Mỹ Đình,1
P Liê Trì Q Mam Từ Liêm HN,1
Tổ B Khu 3B P Cẩm Trung,1
VM QNH Dư án KDC lấn biển coc6,1
Khu DC B cọc P Cẩm Sơn,1
VM+QNH Tổ khu 3B P Cẩm Trung,1
P Cam Binh TP Câm Phu QNH,1
CTY CP SÁCH TBTH QUẢNG NINH,0
ĐC Số Long Tien TP Hạ Long ON,1
Print time,2
Tổng số thanh toan,3
050d,3
ổng cộng,3
Số Trần Phú P C,1
VM QNH Tổ Khi Minh Tiến A,1
P Cẩm Bình TP Cảm Phả QNH,1
Tổng thanh Loán,3
Dong so tien thanh toan,3
Tang SH42 Toa K3 cong trinh chung cu,1
ket hop dich vu tren o dat H CT2 thuoc,1
